Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Philippines,Clothes,Online,C,5/27/2011,159633767,7/7/2011,8034,109.28,35.84,877955.52,287938.56,590016.96
Tajikistan,Beverages,Offline,C,12/23/2010,253959548,1/1/2011,1129,47.45,31.79,53571.05,35890.91,17680.14
Maldives,Meat,Online,C,3/23/2016,641276109,5/6/2016,6706,421.89,364.69,2829194.34,2445611.14,383583.2
Turkmenistan,Vegetables,Online,C,4/4/2011,411559283,5/15/2011,8393,154.06,90.93,1293025.58,763175.49,529850.09
China,Snacks,Online,M,9/23/2015,949234473,11/8/2015,8430,152.58,97.44,1286249.4,821419.2,464830.2
Kazakhstan,Snacks,Online,M,3/4/2013,817725121,3/20/2013,1890,152.58,97.44,288376.2,184161.6,104214.6
Japan,Fruits,Offline,M,4/3/2011,731815469,4/12/2011,9315,9.33,6.92,86908.95,64459.8,22449.15
Brunei,Household,Online,M,9/5/2014,845369899,10/18/2014,2594,668.27,502.54,1733492.38,1303588.76,429903.62
Bangladesh,Beverages,Offline,M,3/9/2010,656681430,3/31/2010,5483,47.45,31.79,260168.35,174304.57,85863.78
India,Personal Care,Offline,C,2/11/2014,640648257,3/28/2014,911,81.73,56.67,74456.03,51626.37,22829.66
Myanmar,Clothes,Online,L,3/28/2013,286945140,4/11/2013,2298,109.28,35.84,251125.44,82360.32,168765.12
Maldives,Snacks,Offline,H,1/13/2014,775564658,1/17/2014,5672,152.58,97.44,865433.76,552679.68,312754.08
Philippines,Cereal,Online,M,8/12/2012,751780116,9/28/2012,7297,205.7,117.11,1500992.9,854551.67,646441.23
North Korea,Personal Care,Online,C,8/5/2016,910695207,9/6/2016,3804,81.73,56.67,310900.92,215572.68,95328.24
Tajikistan,Clothes,Offline,H,2/26/2011,857914912,4/15/2011,4942,109.28,35.84,540061.76,177121.28,362940.48
China,Beverages,Online,H,5/12/2011,964976251,6/6/2011,6771,47.45,31.79,321283.95,215250.09,106033.86
Cambodia,Personal Care,Online,L,6/11/2016,450240170,7/26/2016,4927,81.73,56.67,402683.71,279213.09,123470.62
Laos,Vegetables,Offline,H,4/4/2017,492737090,4/10/2017,710,154.06,90.93,109382.6,64560.3,44822.3
Brunei,Fruits,Offline,C,8/13/2016,304267489,8/20/2016,8366,9.33,6.92,78054.78,57892.72,20162.06
Maldives,Baby Food,Online,M,10/8/2012,924961125,10/12/2012,5407,255.28,159.42,1380298.96,861983.94,518315.02
Sri Lanka,Beverages,Offline,L,12/12/2014,476043879,1/31/2015,818,47.45,31.79,38814.1,26004.22,12809.88
North Korea,Cereal,Offline,L,2/22/2017,910793912,4/13/2017,3013,205.7,117.11,619774.1,352852.43,266921.67
Maldives,Office Supplies,Offline,C,8/17/2012,888038051,8/17/2012,9048,651.21,524.96,5892148.08,4749838.08,1142310
India,Vegetables,Offline,H,3/12/2012,685800778,3/30/2012,2545,154.06,90.93,392082.7,231416.85,160665.85
Tajikistan,Vegetables,Offline,H,6/19/2015,152224862,6/21/2015,5574,154.06,90.93,858730.44,506843.82,351886.62
North Korea,Meat,Online,C,5/14/2017,991643416,6/17/2017,8178,421.89,364.69,3450216.42,2982434.82,467781.6
Mongolia,Snacks,Offline,L,12/13/2015,683103549,1/3/2016,4375,152.58,97.44,667537.5,426300,241237.5
South Korea,Vegetables,Online,L,10/12/2015,893347966,11/17/2015,370,154.06,90.93,57002.2,33644.1,23358.1
Bhutan,Household,Online,H,4/22/2016,789068400,5/6/2016,1729,668.27,502.54,1155438.83,868891.66,286547.17
Uzbekistan,Snacks,Offline,C,1/26/2015,788905322,3/5/2015,3471,152.58,97.44,529605.18,338214.24,191390.94
Maldives,Snacks,Offline,M,9/30/2011,834006774,10/21/2011,9993,152.58,97.44,1524731.94,973717.92,551014.02
North Korea,Office Supplies,Online,C,4/29/2015,484913194,6/18/2015,5445,651.21,524.96,3545838.45,2858407.2,687431.25
Sri Lanka,Snacks,Online,L,2/10/2013,855545985,3/14/2013,3924,152.58,97.44,598723.92,382354.56,216369.36
Cambodia,Snacks,Online,C,2/10/2010,134240329,2/11/2010,3551,152.58,97.44,541811.58,346009.44,195802.14
India,Baby Food,Offline,L,4/14/2016,977631986,5/12/2016,1885,255.28,159.42,481202.8,300506.7,180696.1
Sri Lanka,Office Supplies,Online,C,12/6/2016,752330720,12/21/2016,233,651.21,524.96,151731.93,122315.68,29416.25
South Korea,Cosmetics,Online,L,11/6/2016,461196458,11/22/2016,7136,437.2,263.33,3119859.2,1879122.88,1240736.32
Uzbekistan,Snacks,Online,M,1/8/2013,587986838,2/4/2013,7227,152.58,97.44,1102695.66,704198.88,398496.78
Maldives,Cereal,Online,M,7/30/2012,642206084,9/3/2012,1906,205.7,117.11,392064.2,223211.66,168852.54
South Korea,Cereal,Offline,C,10/31/2015,504925477,11/12/2015,7524,205.7,117.11,1547686.8,881135.64,666551.16
Philippines,Clothes,Offline,H,9/8/2011,692984807,10/25/2011,8459,109.28,35.84,924399.52,303170.56,621228.96
Sri Lanka,Snacks,Offline,C,10/19/2012,702471244,10/20/2012,5706,152.58,97.44,870621.48,555992.64,314628.84
Japan,Household,Offline,L,4/2/2016,300593936,5/3/2016,1280,668.27,502.54,855385.6,643251.2,212134.4
Mongolia,Cereal,Offline,H,7/20/2013,855837380,8/20/2013,154,205.7,117.11,31677.8,18034.94,13642.86
Mongolia,Vegetables,Online,L,10/13/2011,569404065,11/14/2011,8171,154.06,90.93,1258824.26,742989.03,515835.23
Mongolia,Cereal,Online,M,9/14/2016,228939473,9/16/2016,7132,205.7,117.11,1467052.4,835228.52,631823.88
China,Meat,Online,L,10/1/2016,183876216,11/10/2016,1913,421.89,364.69,807075.57,697651.97,109423.6
Japan,Meat,Offline,L,9/14/2012,599428498,10/1/2012,3068,421.89,364.69,1294358.52,1118868.92,175489.6
Uzbekistan,Cereal,Offline,M,8/8/2012,771261966,9/18/2012,2410,205.7,117.11,495737,282235.1,213501.9
North Korea,Vegetables,Online,H,12/8/2013,126114308,12/9/2013,8881,154.06,90.93,1368206.86,807549.33,560657.53
Philippines,Cosmetics,Online,M,7/27/2014,242597711,8/21/2014,8908,437.2,263.33,3894577.6,2345743.64,1548833.96
Indonesia,Office Supplies,Offline,H,9/27/2014,134172523,10/23/2014,3486,651.21,524.96,2270118.06,1830010.56,440107.5
Maldives,Office Supplies,Online,M,12/21/2011,542726171,1/20/2012,3589,651.21,524.96,2337192.69,1884081.44,453111.25
Thailand,Beverages,Online,M,9/25/2011,874545037,10/28/2011,6166,47.45,31.79,292576.7,196017.14,96559.56
Vietnam,Beverages,Offline,L,6/25/2016,482672584,7/1/2016,2398,47.45,31.79,113785.1,76232.42,37552.68
Taiwan,Cosmetics,Offline,C,8/28/2013,720961320,9/17/2013,7331,437.2,263.33,3205113.2,1930472.23,1274640.97
Kazakhstan,Office Supplies,Online,H,11/19/2010,832479846,12/11/2010,8141,651.21,524.96,5301500.61,4273699.36,1027801.25
India,Snacks,Offline,M,7/11/2016,277776277,8/27/2016,9028,152.58,97.44,1377492.24,879688.32,497803.92
Turkmenistan,Office Supplies,Offline,H,1/9/2017,236035525,1/15/2017,7012,651.21,524.96,4566284.52,3681019.52,885265
India,Vegetables,Offline,M,7/8/2017,130141055,7/20/2017,485,154.06,90.93,74719.1,44101.05,30618.05
Brunei,Meat,Offline,C,7/7/2016,862675511,7/9/2016,3709,421.89,364.69,1564790.01,1352635.21,212154.8
Japan,Personal Care,Offline,H,9/29/2014,884100568,9/29/2014,3860,81.73,56.67,315477.8,218746.2,96731.6
Uzbekistan,Office Supplies,Offline,H,7/9/2013,448638141,8/22/2013,850,651.21,524.96,553528.5,446216,107312.5
Thailand,Meat,Offline,L,3/15/2011,862678945,4/2/2011,4725,421.89,364.69,1993430.25,1723160.25,270270
Indonesia,Vegetables,Offline,L,3/28/2010,600794923,4/10/2010,7424,154.06,90.93,1143741.44,675064.32,468677.12
Philippines,Cereal,Offline,M,2/6/2011,803795659,3/23/2011,9852,205.7,117.11,2026556.4,1153767.72,872788.68
Japan,Beverages,Online,C,8/28/2010,814327514,10/9/2010,6462,47.45,31.79,306621.9,205426.98,101194.92
Mongolia,Vegetables,Online,L,3/31/2013,687374055,4/5/2013,8113,154.06,90.93,1249888.78,737715.09,512173.69
Malaysia,Cosmetics,Offline,H,4/6/2014,550602424,4/21/2014,4348,437.2,263.33,1900945.6,1144958.84,755986.76
Mongolia,Office Supplies,Offline,L,3/2/2011,707370889,3/24/2011,5620,651.21,524.96,3659800.2,2950275.2,709525
Laos,Cereal,Online,L,9/6/2016,500784575,10/15/2016,2139,205.7,117.11,439992.3,250498.29,189494.01
South Korea,Cosmetics,Offline,H,11/7/2014,375047767,12/16/2014,3823,437.2,263.33,1671415.6,1006710.59,664705.01
Vietnam,Beverages,Offline,H,8/25/2015,892910230,10/9/2015,834,47.45,31.79,39573.3,26512.86,13060.44
Bhutan,Snacks,Offline,L,12/17/2013,113874852,12/21/2013,6954,152.58,97.44,1061041.32,677597.76,383443.56
Singapore,Office Supplies,Offline,M,9/27/2010,976446235,10/30/2010,995,651.21,524.96,647953.95,522335.2,125618.75
Laos,Clothes,Online,M,4/8/2016,949805247,4/21/2016,7334,109.28,35.84,801459.52,262850.56,538608.96
Bangladesh,Meat,Offline,C,6/28/2012,542784535,8/16/2012,861,421.89,364.69,363247.29,313998.09,49249.2
North Korea,Vegetables,Offline,L,2/12/2013,524584567,3/27/2013,5086,154.06,90.93,783549.16,462469.98,321079.18
Myanmar,Office Supplies,Offline,M,2/6/2017,319556081,3/27/2017,2600,651.21,524.96,1693146,1364896,328250
Thailand,Cosmetics,Offline,M,6/23/2013,907000195,7/11/2013,368,437.2,263.33,160889.6,96905.44,63984.16
Indonesia,Vegetables,Online,M,7/23/2017,131283891,8/27/2017,8676,154.06,90.93,1336624.56,788908.68,547715.88
Kyrgyzstan,Vegetables,Offline,C,11/18/2011,996324193,12/22/2011,3324,154.06,90.93,512095.44,302251.32,209844.12
Laos,Office Supplies,Offline,M,9/13/2015,652040994,10/4/2015,2275,651.21,524.96,1481502.75,1194284,287218.75
Sri Lanka,Cosmetics,Online,M,8/25/2010,222657954,10/4/2010,8291,437.2,263.33,3624825.2,2183269.03,1441556.17
Japan,Fruits,Online,M,2/12/2012,841301524,3/30/2012,8671,9.33,6.92,80900.43,60003.32,20897.11
Vietnam,Cereal,Offline,L,9/25/2016,580053508,10/4/2016,9578,205.7,117.11,1970194.6,1121679.58,848515.02
India,Beverages,Online,M,12/11/2014,139414632,1/17/2015,4743,47.45,31.79,225055.35,150779.97,74275.38
Tajikistan,Snacks,Offline,H,11/28/2010,523087251,1/17/2011,1996,152.58,97.44,304549.68,194490.24,110059.44
Taiwan,Baby Food,Online,M,12/12/2014,103913772,1/5/2015,9249,255.28,159.42,2361084.72,1474475.58,886609.14
Sri Lanka,Beverages,Online,H,5/5/2010,688449084,5/7/2010,6238,47.45,31.79,295993.1,198306.02,97687.08
Uzbekistan,Fruits,Offline,H,8/12/2010,819796645,9/24/2010,4900,9.33,6.92,45717,33908,11809
South Korea,Vegetables,Online,C,10/7/2015,139798724,10/20/2015,8404,154.06,90.93,1294720.24,764175.72,530544.52
Nepal,Cosmetics,Offline,L,1/2/2014,804767262,1/23/2014,7372,437.2,263.33,3223038.4,1941268.76,1281769.64
Laos,Meat,Online,H,8/28/2015,956709897,9/19/2015,574,421.89,364.69,242164.86,209332.06,32832.8
South Korea,Fruits,Online,H,12/31/2010,370735633,1/19/2011,7767,9.33,6.92,72466.11,53747.64,18718.47
China,Office Supplies,Online,C,12/28/2015,328607356,2/3/2016,1074,651.21,524.96,699399.54,563807.04,135592.5
Brunei,Baby Food,Online,C,7/31/2011,977460753,9/2/2011,1213,255.28,159.42,309654.64,193376.46,116278.18
Bhutan,Personal Care,Online,C,8/20/2011,370601308,8/26/2011,8017,81.73,56.67,655229.41,454323.39,200906.02
Taiwan,Fruits,Offline,M,8/14/2014,403101527,9/27/2014,5555,9.33,6.92,51828.15,38440.6,13387.55
Philippines,Snacks,Online,C,11/5/2016,286918962,11/30/2016,4552,152.58,97.44,694544.16,443546.88,250997.28
Thailand,Fruits,Online,M,6/10/2011,250198018,6/18/2011,8008,9.33,6.92,74714.64,55415.36,19299.28
Indonesia,Snacks,Online,M,12/7/2015,428653323,12/14/2015,6899,152.58,97.44,1052649.42,672238.56,380410.86
Singapore,Snacks,Online,H,7/15/2012,664166295,7/20/2012,421,152.58,97.44,64236.18,41022.24,23213.94
Uzbekistan,Fruits,Online,H,6/10/2011,865442693,6/13/2011,2580,9.33,6.92,24071.4,17853.6,6217.8
Cambodia,Cosmetics,Online,L,2/3/2012,275843799,3/10/2012,7165,437.2,263.33,3132538,1886759.45,1245778.55
Nepal,Office Supplies,Offline,M,6/6/2014,799862897,7/24/2014,6061,651.21,524.96,3946983.81,3181782.56,765201.25
North Korea,Cosmetics,Offline,L,1/27/2016,442945420,2/15/2016,6248,437.2,263.33,2731625.6,1645285.84,1086339.76
Uzbekistan,Fruits,Online,H,10/26/2014,275706899,12/15/2014,6653,9.33,6.92,62072.49,46038.76,16033.73
Vietnam,Clothes,Online,M,7/6/2016,411829221,7/9/2016,8273,109.28,35.84,904073.44,296504.32,607569.12
Myanmar,Clothes,Online,L,2/16/2016,914928805,3/21/2016,6620,109.28,35.84,723433.6,237260.8,486172.8
Vietnam,Baby Food,Online,C,5/7/2016,474048316,5/24/2016,286,255.28,159.42,73010.08,45594.12,27415.96
Mongolia,Cosmetics,Offline,H,11/16/2015,773860490,12/6/2015,1371,437.2,263.33,599401.2,361025.43,238375.77
China,Fruits,Online,H,9/28/2014,113116109,10/6/2014,2425,9.33,6.92,22625.25,16781,5844.25
Turkmenistan,Meat,Online,L,2/23/2015,920206534,4/4/2015,8417,421.89,364.69,3551048.13,3069595.73,481452.4
Thailand,Household,Offline,L,11/27/2015,750797784,12/23/2015,6603,668.27,502.54,4412586.81,3318271.62,1094315.19
South Korea,Beverages,Online,H,12/24/2011,897421061,1/29/2012,5690,47.45,31.79,269990.5,180885.1,89105.4
Taiwan,Fruits,Online,M,7/27/2016,881293904,9/8/2016,3305,9.33,6.92,30835.65,22870.6,7965.05
Mongolia,Cereal,Online,L,2/10/2016,664571845,2/28/2016,432,205.7,117.11,88862.4,50591.52,38270.88
North Korea,Clothes,Offline,C,4/11/2010,448244607,4/22/2010,4395,109.28,35.84,480285.6,157516.8,322768.8
Myanmar,Clothes,Offline,H,4/9/2014,996765363,5/21/2014,3876,109.28,35.84,423569.28,138915.84,284653.44
China,Clothes,Online,M,8/17/2012,137637937,9/11/2012,8979,109.28,35.84,981225.12,321807.36,659417.76
North Korea,Beverages,Online,H,9/16/2015,721980559,10/8/2015,8946,47.45,31.79,424487.7,284393.34,140094.36
Mongolia,Personal Care,Offline,L,12/9/2014,667756593,12/20/2014,2870,81.73,56.67,234565.1,162642.9,71922.2
Turkmenistan,Household,Online,L,5/18/2015,192052018,7/1/2015,1315,668.27,502.54,878775.05,660840.1,217934.95
Sri Lanka,Cosmetics,Online,H,10/16/2015,728359496,10/31/2015,6616,437.2,263.33,2892515.2,1742191.28,1150323.92
Japan,Cereal,Offline,H,2/7/2010,176353156,3/17/2010,5673,205.7,117.11,1166936.1,664365.03,502571.07
Tajikistan,Office Supplies,Online,M,7/17/2011,920232713,8/15/2011,6164,651.21,524.96,4014058.44,3235853.44,778205
South Korea,Office Supplies,Online,C,2/9/2013,608338153,2/24/2013,9633,651.21,524.96,6273105.93,5056939.68,1216166.25
Laos,Cereal,Offline,M,9/11/2016,266959035,10/22/2016,7966,205.7,117.11,1638606.2,932898.26,705707.94
Taiwan,Household,Online,C,11/11/2010,387261044,12/28/2010,8004,668.27,502.54,5348833.08,4022330.16,1326502.92
Laos,Fruits,Offline,L,7/29/2010,221946847,8/17/2010,7859,9.33,6.92,73324.47,54384.28,18940.19
Brunei,Baby Food,Online,M,3/11/2014,900965011,3/14/2014,4423,255.28,159.42,1129103.44,705114.66,423988.78
China,Office Supplies,Offline,C,12/9/2010,751443660,1/25/2011,7733,651.21,524.96,5035806.93,4059515.68,976291.25
Philippines,Meat,Offline,H,2/3/2013,711573588,3/7/2013,9292,421.89,364.69,3920201.88,3388699.48,531502.4
China,Fruits,Online,M,8/20/2012,625441634,9/26/2012,933,9.33,6.92,8704.89,6456.36,2248.53
Tajikistan,Beverages,Offline,L,9/1/2013,749260127,10/6/2013,1577,47.45,31.79,74828.65,50132.83,24695.82
Bhutan,Fruits,Offline,L,7/7/2014,423406493,8/19/2014,4245,9.33,6.92,39605.85,29375.4,10230.45
Bhutan,Cosmetics,Online,H,12/30/2014,561570727,1/17/2015,112,437.2,263.33,48966.4,29492.96,19473.44
Mongolia,Vegetables,Online,C,8/24/2015,117832505,8/26/2015,8112,154.06,90.93,1249734.72,737624.16,512110.56
Taiwan,Office Supplies,Offline,M,1/20/2013,252972495,2/26/2013,9038,651.21,524.96,5885635.98,4744588.48,1141047.5
Philippines,Household,Online,C,7/11/2016,986535632,8/16/2016,6671,668.27,502.54,4458029.17,3352444.34,1105584.83
Malaysia,Meat,Online,C,5/6/2012,489370381,5/31/2012,4426,421.89,364.69,1867285.14,1614117.94,253167.2
Sri Lanka,Cosmetics,Offline,L,9/10/2015,168330562,9/18/2015,1609,437.2,263.33,703454.8,423697.97,279756.83
Maldives,Beverages,Offline,M,3/29/2012,366215360,4/20/2012,118,47.45,31.79,5599.1,3751.22,1847.88
Maldives,Personal Care,Offline,H,8/5/2010,365919244,8/25/2010,2491,81.73,56.67,203589.43,141164.97,62424.46
Thailand,Office Supplies,Online,C,7/23/2012,963878476,7/27/2012,1915,651.21,524.96,1247067.15,1005298.4,241768.75
Thailand,Baby Food,Online,C,2/10/2013,198660552,2/11/2013,6927,255.28,159.42,1768324.56,1104302.34,664022.22
Vietnam,Cereal,Online,M,10/31/2011,777688539,11/9/2011,4175,205.7,117.11,858797.5,488934.25,369863.25
Bangladesh,Baby Food,Offline,C,12/27/2014,489584529,2/8/2015,7797,255.28,159.42,1990418.16,1242997.74,747420.42
Taiwan,Clothes,Online,H,10/18/2014,875994718,10/18/2014,5158,109.28,35.84,563666.24,184862.72,378803.52
Kazakhstan,Snacks,Offline,H,5/21/2011,102564084,6/1/2011,9847,152.58,97.44,1502455.26,959491.68,542963.58
Uzbekistan,Cosmetics,Online,C,9/26/2016,777434051,11/8/2016,8867,437.2,263.33,3876652.4,2334947.11,1541705.29
Thailand,Fruits,Offline,M,7/24/2011,405273044,8/18/2011,8155,9.33,6.92,76086.15,56432.6,19653.55
Kyrgyzstan,Cereal,Offline,H,8/18/2015,393298804,9/24/2015,4711,205.7,117.11,969052.7,551705.21,417347.49
South Korea,Personal Care,Offline,H,12/21/2010,882074105,1/16/2011,4184,81.73,56.67,341958.32,237107.28,104851.04
Sri Lanka,Fruits,Online,L,1/30/2016,583768689,2/20/2016,8983,9.33,6.92,83811.39,62162.36,21649.03
Myanmar,Beverages,Online,H,2/26/2016,359902942,3/14/2016,2133,47.45,31.79,101210.85,67808.07,33402.78
Turkmenistan,Vegetables,Online,L,4/5/2013,719766128,4/24/2013,3647,154.06,90.93,561856.82,331621.71,230235.11
Myanmar,Fruits,Online,L,6/5/2010,865012252,7/14/2010,5203,9.33,6.92,48543.99,36004.76,12539.23
Sri Lanka,Snacks,Offline,M,3/18/2017,207310998,4/17/2017,6786,152.58,97.44,1035407.88,661227.84,374180.04
Japan,Cereal,Offline,H,6/4/2012,244448220,6/5/2012,6515,205.7,117.11,1340135.5,762971.65,577163.85
Mongolia,Baby Food,Online,M,2/24/2010,557340562,3/29/2010,8312,255.28,159.42,2121887.36,1325099.04,796788.32
Kyrgyzstan,Beverages,Online,M,9/7/2010,479785239,9/8/2010,7969,47.45,31.79,378129.05,253334.51,124794.54
Thailand,Personal Care,Online,H,5/12/2010,963483655,6/16/2010,5079,81.73,56.67,415106.67,287826.93,127279.74
Turkmenistan,Office Supplies,Offline,L,4/3/2016,464520251,4/29/2016,720,651.21,524.96,468871.2,377971.2,90900
Maldives,Office Supplies,Online,C,7/13/2013,296047484,8/26/2013,5884,651.21,524.96,3831719.64,3088864.64,742855
Malaysia,Clothes,Offline,M,1/24/2014,902101838,2/28/2014,835,109.28,35.84,91248.8,29926.4,61322.4
China,Cereal,Online,C,12/29/2016,165583550,1/4/2017,8707,205.7,117.11,1791029.9,1019676.77,771353.13
Uzbekistan,Office Supplies,Offline,M,5/19/2017,897066581,6/3/2017,791,651.21,524.96,515107.11,415243.36,99863.75
Cambodia,Office Supplies,Offline,C,11/21/2011,952164733,12/14/2011,5559,651.21,524.96,3620076.39,2918252.64,701823.75
Kyrgyzstan,Office Supplies,Offline,M,3/8/2011,649869477,4/18/2011,9675,651.21,524.96,6300456.75,5078988,1221468.75
Japan,Cosmetics,Offline,M,4/10/2016,554572093,5/25/2016,9061,437.2,263.33,3961469.2,2386033.13,1575436.07
Cambodia,Fruits,Online,L,1/3/2013,350027692,2/4/2013,9827,9.33,6.92,91685.91,68002.84,23683.07
Cambodia,Household,Online,C,11/27/2015,937945163,1/5/2016,7672,668.27,502.54,5126967.44,3855486.88,1271480.56
